ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Freshwater Withdrawals (ml),Stress-Weighted Water Use (ml)
R-43886,SAND|Falafel Full Build,GV-SANDWICH,0,0,0,0,0
R-56539,VEG|Hulk Bowl,OK- VEGETARIAN KITCHEN FEATURE,0,0,0,0,0
R-54947,CAL|Black bean soup|AAD,GV - CALIENTE,0,0,0,0,0
R-55154,CAL|Bowl|Guacamole|AAD,GV - CALIENTE,0,0,0,0,0
R-62018,CAL|Bowl|Havana|Add Chicken,GV - CALIENTE,0,0,0,0,0
R-64909,CAL|Bowl|Havana|Add Scallop,GV - CALIENTE,0,0,0,0,0
R-35896,CAL|Bowl|Havana|Plant based,GV - CALIENTE,0,0,0,0,0
R-35900,CAL|Bowl|Latino|AAD,GV - CALIENTE,0,0,0,0,0
R-68790,CAL|Bowl|Pozole-tots|AAD,GV - CALIENTE,0,0,0,0,0
R-17487,CAL|Bowl|Roja-tots|AAD,GV - CALIENTE,0,0,0,0,0
R-44634,CAL|Bowl|Siesta|AAD,GV - CALIENTE BRUNCH,0,0,0,0,0
R-46511,CAL|Enchilada|Jalepeno ricotta,GV - CALIENTE,0,0,0,0,0
R-56647,CAL|quesadillia|bowl,SPECIALS,0,0,0,0,0
R-69619,CAL|Rst pepper quesadilla|AAD,SPECIALS,0,0,0,0,0
R-44889,CAL|Side|Chips & Salsa,GV - CALIENTE,0,0,0,0,0
R-44791,CAL|Side|Guacamole,GV - CALIENTE,0,0,0,0,0
R-47363,CAL|Side|Pico de Gallo,GV - CALIENTE,0,0,0,0,0
R-35269,CAL|SOUP|Quinoa Tortilla|350ml,FOOD,0,0,0,0,0
R-65938,CAL|Soup|Tortilla + pork belly,GV - CALIENTE,0,0,0,0,0
R-44511,CAL|Soup|Tortilla Chicken|350,GV - CALIENTE,0,0,0,0,0
R-64102,CAL|Soup|Tortilla veggie|AAD,GV - CALIENTE,0,0,0,0,0
R-68789,CAL|taco|Bean& Hominy(1)|AAD,GV - CALIENTE,0,0,0,0,0
R-62017,CAL|Taco|Cauliflower(1)AAD,GV - CALIENTE,0,0,0,0,0
R-50528,CAL|Taco|Chorizo|SP|AAD,GV - CALIENTE FEATURE,0,0,0,0,0
R-64940,CAL|Taco|crispy Chicken(1)|AAD,GV - CALIENTE,0,0,0,0,0
R-35879,CAL|Taco|ocean wise|Cod(1)|AAD,GV - CALIENTE,0,0,0,0,0
