PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission (g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom
P-26077,BUTTER|Garlic|Good,2.268,Kg,PREP,2268.0,g,20790.4042288,9.166844898059963,18.24093288,0.008042739365079364,1837506.008768,810.1878345537918,90986682.553824,40117.58490027513
P-26231,BUTTER|Roasted Garlic,550.000,g,PREP,550.000,g,5216.1717,9.483948545454545,4.572565,0.008313754545454546,460579.80400000006,837.4178254545456,22795026.572,41445.50285818182
P-57337,CHIFFONADE|Mint,1.000,Kg,,1000.0,g,838.1666666666667,0.8381666666666667,1.3166666666666667,0.0013166666666666667,135500.0,135.5,4899166.666666667,4899.166666666667
P-24750,CHOPPED|Cilantro,0.500,Kg,,500.0,g,362.904982729432,0.725809965458864,0.5700833890559779,0.0011401667781119557,58668.0753547481,117.3361507094962,2121215.344468414,4242.430688936828
P-50428,CHOPPED|Mint and Cilantro,50.000,g,FOOD - GROCERY,50.000,g,52.49204810023752,1.0498409620047504,0.08245917279615757,0.0016491834559231513,8485.98828902229,169.7197657804458,306821.18789152557,6136.423757830511
P-60548,COOKED|Beer Battered Fish,140.000,g,,140.000,g,617.4060000000001,4.410042857142858,0.73875,0.005276785714285715,167977.5,1199.8392857142858,1038888.6,7420.632857142857
P-68136,COOKED|Beer Battered Halloumi,90.000,g,,90.000,g,807.3589999999999,8.970655555555554,0.747,0.0083,126769.0,1408.5444444444445,6585179.6,73168.66222222222
P-26169,COOKED|Butter Chicken ,151.000,Kg,PREP,151000.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-48870,COOKED|Chicken Stirfry ,6.300,Kg,,6300.0,g,44486.51500000001,7.061351587301588,116.83375,0.01854503968253968,3704245.0,587.9753968253968,3346015.0,531.1134920634921
P-36061,COOKED|Cous-Cous|Citrus,6.000,Kg,PREP,6000.0,g,3806.25,0.634375,3.7,0.0006166666666666667,1050500.0,175.08333333333334,32056750.0,5342.791666666667
P-26460,COOKED|Green Lentils,2.250,Kg,ZDONT USE OK - PREP,2250.0,g,1677.6,0.7455999999999999,0.59,0.00026222222222222223,5000.0,2.2222222222222223,5000.0,2.2222222222222223
P-57429,COOKED|Korean Short Rib,2.000,Kg,PREP,2000.0,g,93856.101,46.9280505,74.7965,0.037398249999999994,3807244.0,1903.622,139171430.0,69585.715
P-60807,COOKED|Olive Oil Mashed|VEGAN,5.000,Kg,,5000.0,g,4804.15,0.96083,2.51,0.000502,171950.0,34.39,12589350.0,2517.87
P-26216,COOKED|Pasta|Penne|WW,2.900,Kg,PREP,2900.0,g,2612.1600000000003,0.900744827586207,2.222,0.0007662068965517241,648940.0,223.77241379310345,19253910.0,6639.2793103448275
P-26143,COOKED|Rice|Brown Basmati,4.536,Kg,PREP,4536.0,g,5727.97,1.2627799823633157,1.1978,0.0002640652557319224,3561774.0,785.223544973545,10456356.0,2305.1931216931216
