ItemId,CategoryID,Description,CaseQty,CaseUOM,PakQty,PakUOM,InventoryGroup
I-14434,41,Potato yellow Med 5lb bag,80.0,g,1.0,oz,N
I-15637,17,Whole Green Beans IQF,20.0,g,1.0,g,N
I-4249,41,Fries Sweet Potato ,5.0,lb,1.0,oz,N
I-1778,24,CRACKER ENTERTAINMENT ,250.0,g,1.0,g,N
I-1821,17,APRICOTS DRIED - Whole,200.0,g,1.0,g,N
I-1890,31,GRAPES,250.0,g,1.0,oz,N
I-5365,6,Cheese Combo Box Domestic,1.02,Kg,1.0,g,N
I-15785,24,Cracker Rosemary Raisin Pecan,250.0,g,1.0,g,N
I-13816,43,BEET CANDY CANE TEEN,0.065,LBS,1.0,LBS,N
I-5264,10,Yogurt Plain 4LTR,1000.0,g,1200.0,ml,Y
I-18533,38,FL - Chili Garlic ,250.0,g,1650.0,g,Y
I-2483,54,YEAST ACTIVE DRY,20.0,g,2000.0,oz,N
I-17129,55,Boiling Water,3000.0,g,2000.0,g,N
I-2025,58,MUSTARD DRY,0.5,g,3.0,fl oz,N
I-2172,41,POTATO RED NUGGET,100.0,g,3.0,oz,N
I-2207,56,SALT HI GR NON IODIZED,4.0,g,3.0,g,N
I-5981,55,Aperol Aperitivo,6.0,L,18.0,fl oz,Y
I-8106,51,Baby Canadian Sparkling Wine,9.0,L,18.0,fl oz,Y
I-14776,61, Boombox Arcade PaleAle,1.0,fl oz,1.0,fl oz,N
I-1610,38,BEETS,1.3,g,2.0,oz,N
I-2071,35,ORANGES,0.5,ea,1.0,ea,N
I-13676,38,Beets - Gold med,60.0,g,1.0,oz,N
I-17990,43,BEETS Candy Cane 5lb,0.025,LBS,1.0,LBS,N
I-17991,35,GRAPEFRUIT pink lrg 4ct ,0.25,ea,1.0,ea,N
I-1096,31,PEACH SCHNAPPS LIQUOR,900.0,ml,18.0,fl oz,N
I-10917,54,Mango Slushie Mix Concentrate,900.0,g,18.0,oz,N
I-6182,55,BIB - Coca-Cola 20L,1.0,L,6.0,fl oz,N
I-6189,55,BIB - Coke Zero 10L,1.0,L,6.0,fl oz,N
I-6188,55,BIB -Canada Dry Ginger Ale 10L,1.0,L,6.0,fl oz,N
I-6185,55,BIB - Nestea 20L,1.0,L,6.0,fl oz,N
I-12929,55,BIB- Sprite 10L ,1.0,L,6.0,fl oz,N
I-6224,55,BIB - Tonic Water 12L,1.0,L,6.0,fl oz,N
I-2993,42,MUSHROOM ,10.0,lb,6.0,oz,N
I-3068,42,"MUSHROOM ""PORTABELLA""*",5.0,lb,6.0,oz,N
I-7200,42,Mushroom King Oyster,3.0,lb,6.0,oz,N
I-1626,24,BREAD NAAN ORIGINAL INDIAN,1.0,ea,1.0,ea,N
I-13754,58,ITEM 2019 Makhni Sauce,6.0,oz,1.0,g,N
I-14517,25,Lijjat Papad,0.5,ea,1.0,ea,N
I-14429,35,LIMES 5lb bag ,104.0,g,1.0,g,N
I-13109,61,16 OZ Mixing Glass ,1.0,ea,1.2,ea,N
I-5941,36,Broccoli Crowns,30.0,g,1.0,g,Y
I-2327,54,SPICE CINNAMON GROUND SHAKER ,60.0,g,500.0,g,N
I-10973,53,Spirit Bear Orca - Dark Roast,1800.0,g,270.5,g,N
I-12210,24,Pasta Linguine Dry 10in,2.0,Kg,4.0,g,Y
I-2093,24,PASTA PENNE RIGATE ,2.0,Kg,4.0,oz,N
I-2086,21,PANKO (CRUMBLE),100.0,g,3.0,g,Y
I-12921,38,EGGPLANT,1.0,ea,3.0,ea,Y
I-8975,57,VINEGAR - CHINKIANG GOLD PLUM,500.0,ml,1500.0,ml,N
I-11704,44,Chili Oil - Sanwu Brand Spicy,50.0,g,1500.0,g,N
I-12132,58,Soy Sauce Tamari G/F Yamasa,600.0,ml,1500.0,fl oz,N
I-12764,44,SESAME OIL 1.65L,300.0,g,1500.0,ml,N
I-15369,58,G21 - Marinara Sauce,0.08,3 LTR,1.0,3 LTR,N
I-18257,24,Flatbread oval,1.0,ea,1.0,ea,N
I-8091,1,Salami Genoa Slcd Deli,4.0,slice,1.0,slice,N
I-13002,3,CHORIZO CRUMBLE ,25.0,g,1.0,g,N
I-1759,28,COCONUT MILK 17/19% MILK FAT,50.0,ml,15.0,ml,N
I-2329,26,SPICE CUMIN SEED GROUND BOX,50.0,g,15.0,g,N
I-5075,54,Spice Bay Leaf Whl,10.0,g,15.0,g,N
I-5103,61,BAG CLR POLY 2LB 4X2X10IN,15.0,ea,15.0,ea,N
I-11828,54,SO Pandan Leaf,70.0,g,15.0,g,N
I-13038,37,PIZZAYOLO Pizza Sce ,300.0,fl oz,333.0,fl oz,Y
I-7335,55,Tea Assam Brkfst Two Leaves,3.0,ea,4.0,ea,N
I-2319,24,BREAD - SOURDOUGH HOMESTYLE,2.0,slice,1.0,slice,Y
I-9028,5,ITEM GARLIC BUTTER,50.0,g,1.0,g,Y
I-14841,6,Cheese Monterey Jalapeno SLCD,2.0,slice,1.0,slice,Y
I-2059,44,OIL SESAME ,0.25,fl oz,1.0,ml,N
I-1652,38,CARROTS-SNAP TOP,50.0,g,1.0,oz,N
I-12218,3,Prosciutto Deli Slcd 198ct Frs,36.0,g,1.0,g,N
I-14125,49,OLIVE MIX mediterranean,62.0,g,1.0,g,N
I-14145,6,Brie Little Qualicum,33.0,g,1.0,g,N
I-14155,6,Tipsy Jill Cheese,30.0,g,1.0,g,N
I-13823,58,ITEM 2019 Korma Sauce,6.0,fl oz,1.0,L,N
I-14514,6,Paneer cubed 21lb,3.0,oz,1.0,g,N
I-8504,54,ITEM RED PEPPER HUMMUS,400.0,ml,1.0,ml,N
I-8523,10,ITEM TZATZIKI,400.0,ml,1.0,ml,N
I-8980,40,PICKLE SPEAR BREADED TFC,175.0,g,1.0,g,N
I-14638,41,Perogies potato 3 chz 160ct,6.0,ea,1.0,ea,N
I-1553,31,AVOCADOS,6.0,ea,1.5,ea,N
I-15495,24,"Country Sourdough 5/8""",1.0,slice,1.0,slice,N
I-1595,17,BEAN KIDNEY RED,1200.0,fl oz,548.0,ml,N
I-1598,17,BEAN TURTLE BLK,1200.0,fl oz,548.0,ml,N
I-2923,41,Potato Peeled,15.0,Kg,548.0,oz,N
I-1835,11,EGG MED FREE RUN LOOSE PACK,2.0,ea,1.0,ea,N
I-14530,31,GUACAMOLE Cal Supreme,40.0,g,1.0,oz,N
I-5095,54,Onion Granulated powder,4.0,g,500.0,g,N
I-1784,8,CREAM WHIPPING AEROSOL REAL CR,4.0,g,1.0,g,N
I-7168,34,Raspberries Frozen IQF,5.0,g,1.0,g,N
I-8857,34,ITEM BLUEBERRY COMPOTE,1.0,fl oz,1.0,ml,N
I-15475,6,NY Cheesecake GF individual ,1.0,ea,1.0,ea,N
I-15027,54,Tandoori Masala Powder,40.0,g,10.0,g,Y
I-2347,40,SPICE THYME GROUND ,20.0,tsp,8.0,fl oz,N
I-1787,24,CROISSANT JUMBO,1.0,ea,1.0,ea,N
I-12886,3,PROSCIUTTO ,30.0,g,1.0,g,N
I-13066,4,CHICKEN WING SPLT 10-14ct,1.0,lb,1.0,g,N
I-6424,41,Fries Savoury Diced McCain,150.0,g,1.0,g,N
I-1833,11,EGG BROWN LARGE FREE RUN LOOSE,10.0,ea,0.31,ea,N
I-2171,34,RASPBERRY - FRESH,1.0,oz,1.0,oz,N
I-4717,43,Caramel Drizzle topping,1.0,fl oz,1.0,ml,N
I-14235,7,VANILLA ICE CREAM 4L,9.0,fl oz,1.0,ml,N
I-2952,24,PASTA MACARONI ELBOW LRG TFC,8.0,oz,1.0,oz,N
I-8518,8,ITEM SOUR CREAM ALFREDO,6.0,oz,1.0,g,N
I-1978,31,MANGO CHUNK IQF ,2000.0,g,4.0,g,N
I-15026,54,"ALLSPICE,Ground Shaker",4.0,g,4.0,g,N
I-12303,1,BEEF CHUCK GRD FINE,10.0,lb,100.0,oz,N
I-14432,36,Broccoli per head ,454.0,g,250.0,g,Y
I-15025,58,SWEET SOY SAUCE ABC,3500.0,ml,4.0,ml,N
I-13385,36,KALE 3ct,0.25,BUNCH,5.0,BUNCH,Y
I-15066,1,G21-Meatballs,3.0,ea,1.0,ea,N
I-1977,35,ORANGE MANDARIN SECT L/S,3.0,fl oz,1.0,ml,N
I-4682,26,"Almonds, slivered",20.0,g,1.0,g,N
