Optimum Control ID,OC Description,SalesGroup,Combined Label,Red,Yellow,Green,GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-66174,MS|Pizza|Salsiccia 2.0,FT MERCANTE,Red,True,False,False,1646.964072922705,19.811636335748798,3.382715390338136,323.0,11632.99,438.02,5.27,85.9,3093.88,0.9
R-11657,MSlPizzalBlanca,FT MERCANTE,Red,True,False,False,1583.69692,16.37842,2.451511999999981,306.14,14117.38,468.55,4.85,90.57,4176.74,0.73
R-11658,MSlPizzalOrtolana,FT MERCANTE,Yellow,False,True,False,1218.8257134153846,12.73535249230769,2.2944168184615195,232.83,10266.2,278.27,2.91,53.16,2343.88,0.52
R-8356,MSlPizzalProsciutto,FT MERCANTE,Red,True,False,False,1889.59914,21.97414,3.487603999999975,364.57,14582.66,409.89,4.77,79.08,3163.27,0.76
R-44389,Muhamara,FEAST,Green,False,False,True,45.5362191,0.37493775,0.12305205,8.56,486.51,101.19,0.83,19.02,1081.13,0.27
R-55054,PAN|L-Chilled|Eat The Rainbow.,SCHOLARS - PANTRY,Red,True,False,False,950.5572697519374,4.390691044564512,4.212484078256056,184.38,1897.84,583.16,2.69,113.12,1164.32,2.58
R-55055,PAN|L-Chilled|Thai Buddah.,SCHOLARS - PANTRY,Green,False,False,True,648.7732216666667,4.887353833333334,1.705032,123.65,2727.39,143.22,1.08,27.3,602.07,0.38
R-32160,PAN|Sandwich|Smash Chick Pea,SCHOLARS - PANTRY,Green,False,False,True,343.6840795714286,1.8524659047619043,1.987971957142857,6.86,360.22,120.59,0.65,2.41,126.39,0.7
R-71174,Pankco Crusted Aubergine/jpop,FEAST,Yellow,False,True,False,344.9097113142857,3.619807922867413,1.1838109782857067,53.56,1694.02,160.42,1.68,24.91,787.92,0.55
R-67129,Panko Crusted Eggplant/ Jpop,FEAST,Red,True,False,False,7058.122912449999,56.31983261173913,21.762788398869567,301.96,11322.4,2352.71,18.77,100.65,3774.13,7.25
R-63860,PAPER CUP CHARGE,FT BEVERAGES,Green,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-57326,PARFAIT BAR|Mix|Large|32oz,FOOD,Yellow,False,True,False,1554.5895358599744,12.300649865165177,1.6904742061446922,241.58,12664.62,310.92,2.46,48.32,2532.92,0.34
R-57325,PARFAIT BAR|Mix|Medium|16oz,FOOD,Red,True,False,False,1328.252975680272,11.554137431972787,1.2748424302721086,188.68,9989.27,354.2,3.08,50.31,2663.81,0.34
R-57324,PARFAIT BAR|Mix|Small|9oz,FOOD,Red,True,False,False,885.5019837868481,7.702758287981858,0.8498949535147392,125.79,6659.51,354.2,3.08,50.32,2663.8,0.34
R-69076,PB|Cauli Spice Burger|VEGAN,FEAST,Yellow,False,True,False,472.83005534500745,3.5216802154881632,1.3493111377911675,43.88,2192.55,181.65,1.35,16.86,842.33,0.52
