ProdId,Description,SalesGroup,GHG Emission (g),Weight (g),GHG Emission (Kg),GHG Emission (Kg) / 100g,GHG Emission (g) / 100g,Sales,GHG Emission (g) / 100g * sales,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-45059,FLX|Chicken Soba Noodle,GV - FLEX ASIAN NOODLE,856.671097,375.0,0.8567,0.228446,228.445626,344,78585.29534,4.64,368.7,0.64
R-48501,G&G|Cup|Chocolate Almond Bark,GV - GRAB & GO,535.675,236.588125,0.5357,0.226417,226.416689,3,679.250067,0.64,6834.89,0.37
R-40777,GZA|Sushi Cone|Tuna,GV GYAZA,164.0750025,72.5,0.1641,0.22631,226.310348,1,226.310348,1.98,464.83,0.26
R-40603,FLX|Pasta|Meatball & Spaghetti,SPECIALS,923.1871299,408.294,0.9232,0.226108,226.108424,2377,537459.7238,2.76,1301.23,0.46
R-50302,DEL|Salad|Caesar Classic,GV - DELISH,619.510458,280.5,0.6195,0.220859,220.859343,2,441.718686,2.05,1336.04,0.59
R-47464,FLX|Cabbage Roll Pomme Anna,GV-FLEX PLANT FORWARD,642.3114057,294.0,0.6423,0.218473,218.473267,305,66634.34644,1.56,568.94,0.32
R-44800,SL|Turkey Roast|+3,GV SIMPLY LOCAL,1426.019342,654.0,1.426,0.218046,218.045771,84,18315.84476,4.66,101.83,0.57
R-44775,GRL|Poutine|Classic,GV GRILL DAY,863.8029245,400.0,0.8638,0.215951,215.950731,4088,882806.5883,2.24,1632.0,0.28
R-32742,FF|Bowl|Overnight Oats,GV FRESH FARE BREAKFAST,721.4576113,340.0,0.7215,0.212193,212.193415,1228,260573.5136,0.65,2927.7,0.37
R-53992,FNH|Healthy Harvest Combo,SPECIALS,1719.097688,813.9999254,1.7191,0.211191,211.191382,6,1267.148292,3.05,969.79,0.5
R-45203,FLX|Salmon Laksa 100g,GV - FLEX ASIAN NOODLE,1255.139591,595.0,1.2551,0.210948,210.94783,638,134584.7155,1.82,341.47,0.25
R-44780,ADD|Condiment House Made,ADD ONS,126.095723,60.0,0.1261,0.21016,210.159538,333,69983.12615,0.41,322.17,0.15
R-53420,POP|Cauliflower Dog|TEN,SPECIALS,296.9347863,147.0,0.2969,0.201996,201.996453,24,4847.914872,1.56,1109.39,0.55
R-54637,SS|POP|Vegtable|Paella,SPECIALS,527.5794232,265.0,0.5276,0.199087,199.086575,61,12144.28108,1.1,534.12,0.39
R-54670,G&G |Penne Alfredo| Packaged,GV - GRAB & GO,695.4937783,350.1455,0.6955,0.19863,198.629935,18,3575.33883,1.96,1508.96,0.33
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO,838.3062136,423.0,0.8383,0.198181,198.181138,460,91163.32348,3.41,316.7,0.42
R-50359,GZA|Bowl|Tuna Albacore,GV GYAZA,777.9239331,398.0,0.7779,0.195458,195.458275,1376,268950.5864,2.02,478.29,0.28
R-55455,FLX|Beyond Spaghetti|PASTA,SPECIALS,754.2543215,391.533875,0.7543,0.192641,192.640885,24,4623.38124,1.81,1248.05,0.33
R-43884,SAND|Turkey Full Build,GV-SANDWICH,594.7616485,310.0,0.5948,0.191859,191.858596,3014,578261.8083,5.35,1722.28,1.0
R-50362,GZA|Bowl|Karaage Chicken,GV GYAZA,896.4772781,478.0,0.8965,0.187548,187.547548,2377,445800.5216,3.4,170.29,0.4
R-54951,GRL|Poutine|Chicken Skin|SP,GV GRILL DAY,743.6471096,400.0,0.7436,0.185912,185.911777,25,4647.794425,2.15,1231.09,0.27
R-54645,DIM SUM|Tofu Stir Stirfry|SP,GV - DIM SUM,712.4421276,384.0,0.7124,0.185532,185.531804,9,1669.786236,0.97,210.32,0.36
R-35896,CAL|Bowl|Havana|Plant based,GV - CALIENTE,770.2754806,420.0,0.7703,0.183399,183.398924,14644,2685693.843,0.67,163.5,0.65
R-49836,DOD|Rice Coconut|SIDE,GV-FLEX DOD,320.718765,175.0,0.3207,0.183268,183.267866,68,12462.21489,0.33,192.22,0.14
R-40776,GZA|Sushi Cone|Salmon,GV GYAZA,187.7081066,102.5,0.1877,0.18313,183.12986,1,183.12986,1.52,406.7,0.2
R-47103,FLX|Potato|Pomme Anna,GV-FLEX PLANT FORWARD,274.4716667,150.0,0.2745,0.182981,182.981111,19,3476.641109,1.97,948.54,0.24
R-38159,SIDE|Large Bowl|32oz,GV - SIDES,1628.992999,907.184,1.629,0.179566,179.565887,2024,363441.3553,1.58,1026.71,0.24
